Date,Close
01-08-2017,1248.175049
01-09-2017,1217.974976
01-10-2017,1312
01-11-2017,1318.5
01-12-2017,1350.599976
01-01-2018,1556.175049
01-02-2018,1517.525024
01-03-2018,1424.574951
01-04-2018,1766.050049
01-05-2018,1741.050049
01-06-2018,1847.75
01-07-2018,1940.199951
01-08-2018,2078.399902
01-09-2018,2183.699951
01-10-2018,1938.150024
01-11-2018,1968.25
01-12-2018,1893.050049
01-01-2019,2014.099976
01-02-2019,1983.449951
01-03-2019,2001.650024
01-04-2019,2260.350098
01-05-2019,2196.550049
01-06-2019,2227.199951
01-07-2019,2205.699951
01-08-2019,2259.600098
01-09-2019,2099.300049
01-10-2019,2269.649902
01-11-2019,2053.25
01-12-2019,2161.699951
01-01-2020,2079.050049
01-02-2020,2000.150024
01-03-2020,1826.099976
01-04-2020,2014.449951
01-05-2020,1972.349976
01-06-2020,2082.149902
01-07-2020,2281.399902
01-08-2020,2257.25
01-09-2020,2492.300049
01-10-2020,2664.850098
01-11-2020,2679.649902
01-12-2020,2862.75
01-01-2021,3111.350098
01-02-2021,2894.300049
01-03-2021,3177.850098
01-04-2021,3035.649902
01-05-2021,3159.149902
01-06-2021,3345.75
01-07-2021,3167.449951
01-08-2021,3786.449951
01-09-2021,3775.550049
01-10-2021,3397.75
01-11-2021,3529.149902
01-12-2021,3738.350098
01-01-2022,3736.25
01-02-2022,3554.199951
01-03-2022,3739.949951
01-04-2022,3546.699951
01-05-2022,3364.350098
01-06-2022,3267.100098
01-07-2022,3113.800049
12-07-2022,3084.699951
