Date,Close
01-08-2017,672.400024
01-09-2017,627.125
01-10-2017,672.400024
01-11-2017,703.275024
01-12-2017,751.099976
01-01-2018,763.049988
01-02-2018,728.349976
01-03-2018,738.900024
01-04-2018,873.299988
01-05-2018,922.950012
01-06-2018,897.700012
01-07-2018,935.950012
01-08-2018,965.299988
01-09-2018,860.950012
01-10-2018,765.950012
01-11-2018,790.900024
01-12-2018,803.849976
01-01-2019,680.049988
01-02-2019,645.900024
01-03-2019,673.900024
01-04-2019,645.299988
01-05-2019,647.049988
01-06-2019,655.349976
01-07-2019,550
01-08-2019,528.799988
01-09-2019,547.150024
01-10-2019,606.450012
01-11-2019,530.549988
01-12-2019,531.549988
01-01-2020,567.150024
01-02-2020,457.049988
01-03-2020,284.950012
01-04-2020,366.649994
01-05-2020,436.350006
01-06-2020,510.700012
01-07-2020,606.450012
01-08-2020,606.900024
01-09-2020,607.900024
01-10-2020,594
01-11-2020,722
01-12-2020,720.599976
01-01-2021,749.599976
01-02-2021,806.400024
01-03-2021,795.25
01-04-2021,752.549988
01-05-2021,807.950012
01-06-2021,777.700012
01-07-2021,743.099976
01-08-2021,793.299988
01-09-2021,803.049988
01-10-2021,884.25
01-11-2021,835.5
01-12-2021,837.150024
01-01-2022,885.799988
01-02-2022,790.849976
01-03-2022,806.549988
01-04-2022,922.099976
01-05-2022,1034.349976
01-06-2022,1093.150024
01-07-2022,1165.050049
12-07-2022,1146.650024
