Date,Close
01-08-2017,1136.300049
01-09-2017,1142.050049
01-10-2017,1222.300049
01-11-2017,1216.550049
01-12-2017,1258.25
01-01-2018,1416.5
01-02-2018,1318.150024
01-03-2018,1310.900024
01-04-2018,1400.900024
01-05-2018,1370.400024
01-06-2018,1275.099976
01-07-2018,1302.300049
01-08-2018,1369.550049
01-09-2018,1272.099976
01-10-2018,1297.5
01-11-2018,1432.5
01-12-2018,1437.550049
01-01-2019,1314.300049
01-02-2019,1292.949951
01-03-2019,1385.300049
01-04-2019,1348.550049
01-05-2019,1557.550049
01-06-2019,1553.199951
01-07-2019,1387.300049
01-08-2019,1328.25
01-09-2019,1474.25
01-10-2019,1473.050049
01-11-2019,1330.550049
01-12-2019,1298.199951
01-01-2020,1369.300049
01-02-2020,1187.550049
01-03-2020,808.5
01-04-2020,897.549988
01-05-2020,932.25
01-06-2020,943.650024
01-07-2020,913.450012
01-08-2020,944.950012
01-09-2020,901.599976
01-10-2020,929.5
01-11-2020,1122.400024
01-12-2020,1287.599976
01-01-2021,1334.699951
01-02-2021,1442.5
01-03-2021,1418.900024
01-04-2021,1340.449951
01-05-2021,1467.699951
01-06-2021,1500.550049
01-07-2021,1601.449951
01-08-2021,1672.199951
01-09-2021,1702.949951
01-10-2021,1766.650024
01-11-2021,1764.75
01-12-2021,1895.900024
01-01-2022,1909.199951
01-02-2022,1816.75
01-03-2022,1767.650024
01-04-2022,1694.349976
01-05-2022,1654.5
01-06-2022,1558.25
01-07-2022,1663
12-07-2022,1653.75
