Date,Close
01-08-2017,481.149994
01-09-2017,503.25
01-10-2017,552.900024
01-11-2017,539.950012
01-12-2017,571.150024
01-01-2018,579.900024
01-02-2018,535.349976
01-03-2018,495.100006
01-04-2018,528.400024
01-05-2018,480.350006
01-06-2018,564
01-07-2018,568.5
01-08-2018,652.849976
01-09-2018,623.25
01-10-2018,580.25
01-11-2018,492.600006
01-12-2018,430.5
01-01-2019,423.450012
01-02-2019,445.149994
01-03-2019,478.850006
01-04-2019,457.649994
01-05-2019,409.850006
01-06-2019,400.950012
01-07-2019,426.75
01-08-2019,450.399994
01-09-2019,389.450012
01-10-2019,433.399994
01-11-2019,449.850006
01-12-2019,432.549988
01-01-2020,434.299988
01-02-2020,372.899994
01-03-2020,352.299988
01-04-2020,464.450012
01-05-2020,474.25
01-06-2020,472.950012
01-07-2020,531.700012
01-08-2020,520.25
01-09-2020,500.450012
01-10-2020,465.75
01-11-2020,511.649994
01-12-2020,592.349976
01-01-2021,586.200012
01-02-2021,594.599976
01-03-2021,597.799988
01-04-2021,654.450012
01-05-2021,668.299988
01-06-2021,675.450012
01-07-2021,773.950012
01-08-2021,794.049988
01-09-2021,818.25
01-10-2021,795
01-11-2021,753.599976
01-12-2021,845.700012
01-01-2022,834.5
01-02-2022,843.900024
01-03-2022,914.75
01-04-2022,928.650024
01-05-2022,860.599976
01-06-2022,830.599976
01-07-2022,857.25
12-07-2022,851.599976
